1,Upplands Väsby kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
2,Vallentuna kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
3,Österåker kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
4,Värmdö kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
5,Järfälla kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
6,Ekerö kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
7,Huddinge kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
8,Botkyrka kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
9,Salem kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
10,Haninge kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
11,Tyresö kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
12,Upplands-Bro kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
13,Nykvarn kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
14,Täby kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
15,Danderyd kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
16,Sollentuna kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
17,Stockholm stad,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
18,Södertälje kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
19,Nacka kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
20,Sundbyberg stad,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
21,Solna stad,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
22,Lidingö stad,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
23,Vaxholm stad,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
24,Norrtälje kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
25,Sigtuna kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
26,Nynäshamn kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
27,Håbo kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
28,Älvkarleby kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
29,Knivsta kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
30,Heby kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
31,Tierp kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
32,Uppsala kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
33,Enköping kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
34,Östhammar kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
35,Vingåker kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
36,Gnesta kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
37,Nyköping kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
38,Oxelösund kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
39,Flen kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
40,Katrineholm kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
41,Eskilstuna kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
42,Strängnäs kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
43,Trosa kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
44,Ödeshög kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
45,Ydre kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
46,Kinda kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
47,Boxholm kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
48,Åtvidaberg kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
49,Finspång kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
50,Valdemarsvik kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
51,Linköping kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
52,Norrköping kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
53,Söderköping kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
54,Motala kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
55,Vadstena kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
56,Mjölby kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
57,Aneby kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
58,Gnosjö kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
59,Mullsjö kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
60,Habo kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
61,Gislaved kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
62,Vaggeryd kommun,2010-11-11 12:50:55.086000,2010-11-11 12:50:55.086000
